FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,NODEID,nodeX,nodeY,STREET1,STREET2
216,1,216,1,1,0,0,2015,60291,1043226.393,226763.2204,CROSS ISLAND PARKWAY SR SOUTH,ESTATES LANE
217,1,217,1,0,1,0,2015,41382,1001480.736,212490.6509,29 STREET,QUEENS PLAZA NORTH
218,1,218,1,1,0,0,2015,32794,1029303.767,191199.0766,ATLANTIC AVENUE,108 STREET
219,1,219,1,1,0,0,2015,37046,1040317.288,197701.1962,165 STREET,HILLSIDE AVENUE
220,1,220,1,1,0,0,2015,27722,1005657.365,190643.7598,BROADWAY,LINDEN STREET
221,1,221,1,0,0,1,2015,15286,981801.5731,199331.7408,CHURCH STREET,MURRAY STREET
222,1,222,1,1,0,0,2015,48627,1010085.013,259829.1244,WEST 231 STREET,KINGSBRIDGE AVENUE
223,1,223,1,1,0,0,2015,20485,984870.1595,200431.1678,CANAL STREET,MOTT STREET
224,1,224,1,0,0,1,2015,31859,1027275.552,187158.5339,94 STREET,LIBERTY AVENUE
225,1,225,1,1,0,0,2015,5175,948649.1867,142063.0286,HYLAN BOULEVARD,BUFFALO STREET
226,1,226,1,1,0,0,2015,27187,1008351.054,184222.8147,PROSPECT PLACE,EASTERN PARKWAY
227,1,227,1,0,0,1,2015,43795,1004928.278,245384.9082,WEST 169 STREET,OGDEN AVENUE
228,1,228,1,1,0,0,2015,44174,1008768.195,244545.7304,EAST 170 STREET,MORRIS AVENUE
229,1,229,1,1,0,0,2015,28991,1016879.993,175542.6618,PENNSYLVANIA AVENUE,TWIN PINES DRIVE
230,1,230,1,1,0,0,2015,21394,987770.5277,212686.6777,WEST 35 STREET,AVENUE OF THE AMERICAS
231,1,231,1,0,0,1,2015,18961,997259.3011,184031.1487,ST JOHNS PLACE,ROGERS AVENUE
232,1,232,1,0,0,1,2015,58451,1040237.793,200691.8956,168 STREET,GRAND CENTRAL PARKWAY
233,1,233,1,1,0,0,2015,42827,1004975.104,232882.2659,BRUCKNER BOULEVARD,WILLIS AVENUE BRIDGE
234,1,234,1,1,0,0,2015,13098,989267.2111,150295.0262,STILLWELL AVENUE,NEPTUNE AVENUE
235,1,235,1,0,0,1,2015,30810,1026114.059,151275.523,BEACH CHANNEL DRIVE,BEACH 127 STREET
236,1,236,1,0,0,1,2015,36639,1046358.191,182669.9733,159 STREET,NORTH CONDUIT AVENUE
237,1,237,1,0,0,1,2015,32363,1023556.013,196374.3648,WOODHAVEN BOULEVARD,UNION TURNPIKE
238,1,238,1,1,0,0,2015,42533,1001744.873,239784.5031,ADAM C POWELL BOULEVARD,WEST 150 STREET
239,1,239,1,0,0,1,2015,11802,977966.299,168616.0158,BAY RIDGE PARKWAY,5 AVENUE
240,1,240,1,0,0,1,2015,4469,944951.1232,138383.6331,HYLAN BOULEVARD,GREAT KILLS ROAD
241,1,241,1,0,1,0,2015,42529,1001901.099,238191.3734,LENOX AVENUE,WEST 145 STREET
242,1,242,1,0,0,1,2015,7939,954565.664,154384.5223,FOUR CORNERS ROAD,NORTHENTRY ROAD
243,1,243,1,0,0,1,2015,4870,945022.3763,140982.5875,CRANFORD STREET,AMBOY ROAD
244,1,244,1,1,0,0,2015,21706,989196.5879,220016.9842,BROADWAY,WEST 62 STREET
245,1,245,1,1,0,0,2015,46660,1014986.939,218123.3069,ASTORIA BOULEVARD,ASTORIA BOULEVARD RAMP
246,1,246,1,1,0,0,2015,17615,996076.5935,161202.0809,EAST 16 STREET,KINGS HIGHWAY
247,1,247,1,0,1,0,2015,34157,1037661.873,184243.8481,SUTTER AVENUE,131 STREET
248,1,248,1,1,0,0,2015,21627,987524.5636,221533.8644,WEST 64 STREET,WEST END AVENUE
249,1,249,1,1,0,0,2015,31349,1021093.324,188117.8922,GRANT AVENUE,ATLANTIC AVENUE
